Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
The Amber Spyglass,"Pullman, Philip",0,His Dark Materials 3,2,2000,,0,,0,,,,,,,,,,3,
Harry Potter and the Goblet of Fire,"Rowling, J.K.",1,Harry Potter 4,3,2000,,0,,0,,,,,,,,,,5,
How the Dead Live,"Self, Will",0,,4,2000,,0,,0,,,,,,,,,,6,
The Plato Papers,"Ackroyd, Peter",0,,2,1999,,0,"book-related, classical",17,,,,,,,1,,,6,
The Business,"Banks, Iain",0,,2,1999,,0,,0,,,,,,,,,,14,
Werewolves in Their Youth,"Chabon, Michael",0,,3,1999,,0,,0,,,,,,,,,1,11,
The Sky Road,"MacLeod, Ken",0,The Fall Revolution 4,4,1999,,1,,0,,,,,,,,,,3,
Ghostwritten,"Mitchell, David",0,,4,1999,,0,,0,,,,,,,,,,7,
The Fifth Elephant,"Pratchett, Terry",0,Discworld 24,3,1999,,1,,0,,,,,,,,,,32,
Silver Screen,"Robson, Justina",1,,0,1999,,0,,0,,1,,,,,,,,2,
Harry Potter and the Prisoner of Azkaban ,"Rowling, J.K.",1,Harry Potter 3,4,1999,,0,,0,,,,,,,,,,5,
The Ground Beneath Her Feet,"Rushdie, Salman",0,,4,1999,,0,,0,,,,,,,,,,7,
Inversions ,"Banks, Iain M.",0,Culture 6,3,1998,,0,,0,,1,,,,,,,,13,
Smoke and Mirrors: Short Fiction and Illusions,"Gaiman, Neil",0,,3,1998,,0,gothic,0,,,1,,,,,,1,10,
Amsterdam,"McEwan, Ian",0,,3,1998,,0,,0,,,,,,,,,,6,
The Restraint of Beasts,"Mills, Magnus",0,,2,1998,,0,,0,,,,,,,,,,4,
Carpe Jugulum ,"Pratchett, Terry",0,Discworld 23,2,1998,,0,,0,,,,,,,,,,32,
The Last Continent,"Pratchett, Terry",0,Discworld 22,2,1998,,1,,0,,,,,,,,,,32,
I Married a Communist,"Roth, Philip",0,,3,1998,,0,,0,,,,,,,,,,2,
A Song of Stone,"Banks, Iain",0,,2,1997,,0,,0,,,,,,,,,,14,
Enduring Love,"McEwan, Ian",0,,3,1997,,0,,0,,,,,,,,,,6,
Jingo ,"Pratchett, Terry",0,Discworld 21,5,1997,,1,,0,,,,,,,,,,32,
Alias Grace,"Atwood, Margaret",1,,3,1996,,1,,0,,,,,,,1,,,14,
Cocaine Nights,"Ballard, J.G.",0,,4,1996,,0,,0,,,,,,,,,,20,
Excession ,"Banks, Iain M.",0,Culture 5,3,1996,,0,,0,,1,,,,,,,,13,
Neverwhere,"Gaiman, Neil",0,,4,1996,,1,london,0,,,1,,,1,,,,10,
The Silence of the Rain,"Garcia-Roza, Luiz Alfredo",0,,2,1996,,0,brazil,0,,,,1,,,,,,1,
Fugitive Pieces,"Michaels, Anne",1,,0,1996,,1,,0,,,,,,,,,,1,
Hogfather,"Pratchett, Terry",0,Discworld 20,3,1996,,0,,0,,,,,,,,,,32,
Feet of Clay,"Pratchett, Terry",0,Discworld 19,2,1996,,0,,0,,,,,,,,,,32,
The Subtle Knife ,"Pullman, Philip",0,His Dark Materials 2,3,1996,,0,,0,,,,,,,,,,3,
CivilWarLand in Bad Decline,"Saunders, George",0,,4,1996,,1,,0,,,,,,,,,1,2,
The Information,"Amis, Martin",0,,3,1995,,1,book-related,0,,,,,,1,,,,6,
Whit,"Banks, Iain",0,,3,1995,,0,religion,0,,,,,,,,,,14,
Burning Your Boats: The Collected Short Stories,"Carter, Angela",1,,5,1995,,1,,0,,,1,,,,,,1,6,
Wonder Boys,"Chabon, Michael",0,,5,1995,,0,book-related,0,,,,,,1,,,,11,
Maskerade,"Pratchett, Terry",0,Discworld 18,4,1995,,1,,0,,,,,,,,,,32,
The Prestige,"Priest, Christopher",0,,3,1995,,0,,0,,,,,,,,,,6,
The Golden Compass ,"Pullman, Philip",0,His Dark Materials 1,4,1995,,0,,0,,,,,,,,,,3,
The Rings of Saturn,"Sebald, W.G.",0,,3,1995,,1,,0,,,,,,,,,,1,
The Diamond Age,"Stephenson, Neal",0,,4,1995,,1,,0,,,,,,,,,,7,
Dan Leno & The Limehouse Golem,"Ackroyd, Peter",0,,2,1994,,0,"london, gothic",0,,,,,,,1,,,6,
Rushing to Paradise,"Ballard, J.G.",0,,3,1994,,0,,0,,,,,,,,,,20,
The Island of the Day Before,"Eco, Umberto",0,,3,1994,,0,maritime,0,,,,,,,1,,,7,
Flashman and the Angel of the Lord ,"Fraser, George MacDonald",0,Flashman 10,3,1994,,0,,0,,,,,,1,1,,,5,
Closing Time,"Heller, Joseph",0,,3,1994,,0,,0,,,,,,,,,,3,
The Wind-Up Bird Chronicle,"Murakami, Haruki",0,,2,1994,,1,,0,,,,,,,,,,6,
Interesting Times ,"Pratchett, Terry",0,Discworld 17,4,1994,,1,,0,,,,,,,,,,32,
Soul Music ,"Pratchett, Terry",0,Disworld 16,3,1994,,0,,0,,,,,,,,,,32,
Shadow & Claw,"Wolfe, Gene",0,Book of the New Sun 1-2,4,1994,,0,,0,,,,,,,,,,2,
Sword & Citadel ,"Wolfe, Gene",0,Book of the New Sun 3-4,4,1994,,0,,0,,,,,,,,,,2,
House of Doctor Dee,"Ackroyd, Peter",0,,2,1993,,0,"london, gothic",0,,,,,,,1,,,6,
The Robber Bride,"Atwood, Margaret",1,,4,1993,,0,,0,,,,,,,,,,14,
Complicity,"Banks, Iain",0,,2,1993,,0,,0,,,,,,,,,,14,
Against a Dark Background,"Banks, Iain M.",0,,3,1993,,1,,0,,1,,,,,,,,13,
A Dead Man in Deptford,"Burgess, Anthony",0,,4,1993,,0,book-related,0,,,,,,,1,,,4,
Men at Arms ,"Pratchett, Terry",0,Discworld 15,4,1993,,0,,0,,,,,,,,,,32,
My Idea of Fun,"Self, Will",0,,3,1993,,0,,0,,,,,,,,,,6,
The Crow Road,"Banks, Iain",0,,4,1992,,1,,0,,,,,,,,,,14,
Angela Carter's Book of Fairy Tales,"Carter, Angela",1,,4,1992,,1,gothic,0,,,1,,,,,,1,6,
